서울 NAT010000
용산 NAT010032
노량진 NAT010058
영등포 NAT010091
신도림 NAT010106
상봉 NAT020040
서빙고 NAT130036
옥수 NAT130070
왕십리 NAT130104
청량리 NAT130126
상동 NAT013747
밀양 NAT013841
삼랑진 NAT013967
원동 NAT014058
물금 NAT014150
한림정 NAT880099
진영 NAT880177
진례 NAT880179
창원중앙 NAT880281
창원 NAT880310
월포 NAT8B0504
장사 NAT8B0595
강구 NAT8B0671
영덕 NAT8B0737
김천 NAT012546
아포 NAT012700
구미 NAT012775
사곡 NAT012821
약목 NAT012903
왜관 NAT012968
백양사 NAT031486
장성 NAT031638
나주 NAT031998
다시 NAT032099
함평 NAT032212
무안 NAT032273
몽탄 NAT032313
일로 NAT032422
임성리 NAT032489
목포 NAT032563
용동 NAT030667
함열 NAT030718
익산 NAT030879
김제 NAT031056
신태인 NAT031179
정읍 NAT031314
삼례 NAT040133
동산 NAT040173
전주 NAT040257
신리 NAT040352
성환 NAT010848
천안 NAT010971
계룡 NAT030254
연산 NAT030396
논산 NAT030508
강경 NAT030607
아산 NAT080045
온양온천 NAT080147
신창 NAT080216
도고온천 NAT080309
옥천 NAT011833
이원 NAT011916
지탄 NAT011972
심천 NAT012016
각계 NAT012054
영동 NAT012124
황간 NAT012270
추풍령 NAT012355
봉양 NAT021478
제천 NAT021549
횡성 NATN10230
둔내 NATN10428
평창 NATN10625
진부 NATN10787
동화 NAT020986
만종 NAT021033
원주 NAT021082
반곡 NAT021175
신림 NAT021357
백마고지 NAT130944
안양 NAT010239
수원 NAT010415
오산 NAT010570
서정리 NAT010670
평택 NAT010754
덕소 NAT020178
양수 NAT020346
국수 NAT020430
아신 NAT020471
양평 NAT020524
울산(통도사) NATH13717
남창 NAT750560
덕하 NAT750653
태화강 NAT750726
효문 NAT750760
호계 NAT750822
대전 NAT011668
서대전 NAT030057
흑석리 NAT030173
신탄진 NAT011524
광주송정 NAT031857
효천 NAT882904
서광주 NAT882936
광주 NAT883012
극락강 NAT883086
인천공항T2 NATC30058
주안 NAT060231
검암 NATC10325
인천공항T1 NATC10580
대구 NAT013239
동대구 NAT013271
화명 NAT014244
구포 NAT014281
사상 NAT014331
부산 NAT014445
가야 NAT840051
부전 NAT750046
동래 NAT750106
센텀 NAT750161
신해운대 NAT750189
송정 NAT750254
부강 NAT011403
소정리 NAT011079
전의 NAT011154
조치원 NAT011298
